index,name,ra,dec
1,IRASF12590+2943,195.353611,29.31092
2,IRAS13120-5453,198.776395,-55.156326
3,IRASF16504+0228North,253.245295,2.400926
4,IRASF16504+0228South,253.245295,2.400926
5,IRASF23254+0830,351.986263,8.778966
6,IRAS17208-0014,260.84146,-0.28354
7,IRAS09022-3615,136.05292,-36.45042
8,IRAS13120-5453,198.7764,-55.15633
9,IRASF14378-3651,220.24589,-37.07552
10,IRASF05189-2524*,80.25582,-25.36256
11,IRASF10565+2448*,164.82556,24.54293
12,IRAS19542+1110*,299.14746,11.3175
13,ESO148-IG002*,348.94484,-59.05436
14,NGC6240*,253.24529,2.40093
15,IRASF17138-1017,259.14924,-10.3445
16,IRAS17578-0400,270.13285,-4.0147
17,ESO173-G015,201.84954,-57.48962
18,UGC11763*,323.11593,10.13868
19,NGC3110,151.00869,-6.47488
20,ESO221-IG10,207.73719,-49.05527
21,ESO286-G035,316.04636,-43.59302
22,IRAS17208-0014,260.84166666666664,-0.2836111111111111
23,IRASF14348-1447,219.4083333333333,-15.006666666666666
24,IRASF12112+0305,183.44166666666663,2.8115277777777776
25,IRAS13120-5453,198.775,-55.15638888888888
26,IRAS09022-3615,136.05416666666665,-36.45027777777778
27,IRASF14378-3651,220.2458333333333,-37.07555555555556
28,IRASF22491-1808,342.95416666666665,-17.873333333333335
29,IRASF17138-1017,259.15,-10.34388888888889
30,IRAS17578-0400,270.1333333333333,-4.015
31,ESO173-G015,201.85,-57.489444444444445
32,NGC3110,151.00833333333333,-6.474722222222223
33,ESO221-IG10,207.7375,-49.05555555555555
34,ESO286-G035,316.0458333333333,-43.5925
35,2MASXJ00253292+6821442,6.387,68.3623
36,MCG-07-03-007,16.3617,-42.2162
37,3C033,17.2203,13.3372
38,MCG+08-03-018,20.6435,50.055
39,ESO244-IG030,22.4636,-42.3265
40,ARP318,32.3805,-10.1585
41,NGC1229,47.0449,-22.9608
42,2MASXJ03561995-6251391,59.083,-62.861
43,ESO426-G002,95.9434,-32.2166
44,2MASXJ06561197-4919499,104.0498,-49.3306
45,Mrk78,115.6739,65.1771
46,2MASXJ08434495+3549421,130.9375,35.8283
47,SBS0915+556,139.805,55.4653
48,2MASXJ09235371-3141305,140.9739,-31.6919
49,ESO317-G041,157.8463,-42.0606
50,SDSSJ103315.71+525217.8,158.3159,52.8716
51,NGC3588NED01,168.5103,20.3873
52,IC0751,179.7191,42.5703
53,CGCG187-022,183.2888,32.5964
54,IGRJ14175-4641,214.2652,-46.6948
55,CGCG164-019,221.4035,27.0348
56,NGC6232,250.8343,70.6325
57,NGC6240,253.2454,2.4009
58,NGC6552,270.0304,2.4009
59,2MASXJ20145928+2523010,303.747,25.3836
60,MCG+04-48-002,307.1461,66.6154
61,ESO234-IG063,310.0656,-51.4297
62,NGC7212NED02,331.7582,10.2334
63,2MASXJ23222444-0645375,350.6019,-6.7605
64,MCG-02-01-051/2,4.709999999999999,-10.36888888888889
65,IC1623A/B,16.946666666666665,-17.506944444444443
66,MCG-03-04-014,17.53708333333333,-16.852777777777778
67,CGCG436-030,20.01125,14.361944444444443
68,IRASF01364-1042,24.72041666666666,-10.453055555555554
69,IIIZw35,26.12708333333333,17.10138888888889
70,NGC695,27.809166666666663,22.5825
71,NGC958,37.678333333333335,-2.938888888888889
72,UGC2238,41.57291666666666,13.095555555555556
73,UGC2369,43.50749999999999,14.973611111111111
74,IRASF03359+1523,54.69458333333333,15.54861111111111
75,ESO550-IG025,65.33333333333331,-18.813333333333333
76,IRASF05189-2524,80.25624999999998,-25.3625
77,IRASF08572+3915,135.1058333333333,39.065
78,UGC4881,138.9795833333333,44.331944444444446
79,MCG+08-18-012/3,144.15499999999997,48.47444444444445
80,IC-488237,146.5858333333333,3.058333333333333
81,NGC3110,151.00874999999996,-6.474722222222223
82,IRASF10173+0828,155.0008333333333,8.226111111111111
83,IRASF10565+2448,164.82541666666663,24.54305555555556
84,MCG+07-23-019,165.97166666666664,40.84916666666667
85,CGCG011-076,170.30083333333332,-2.984166666666667
86,IC2810A/B,171.43749999999997,14.676666666666666
87,NGC3690/IC694,172.1266666666667,58.56944444444445
88,IRASF12112+0305,183.44166666666663,2.8105555555555557
89,IRASF12224-0624,186.26625,-6.681388888888889
90,NGC4922,195.35375,29.311111111111117
91,ESO507-G070,195.71791666666664,-23.921666666666667
92,VV250,198.88666666666663,62.12694444444445
93,UGC8387,200.1470833333333,34.13944444444444
94,NGC5104,200.34625,0.3424999999999999
95,NGC5256,204.57291666666663,48.276944444444446
96,NGC1226334,204.98,0.8369444444444445
97,UGC8696,206.17541666666665,55.886944444444445
98,CGCG247-020,214.93,49.236666666666665
99,IRASF14348-1447,219.40958333333333,-15.006388888888887
100,VV340,224.25166666666664,24.612222222222226
101,VV705,229.52625,42.74361111111112
102,IRASF15250+3608,231.7475,35.977222222222224
103,CGCG052-037,247.73541666666665,4.082777777777777
104,NGC1601742,254.6158333333333,58.946666666666665
105,IRASF17132+5313,258.5833333333333,53.175
106,ESO602-G025,337.85624999999993,-19.034444444444446
107,IRASF22491-1808,342.955,-17.873055555555556
108,NGC7469/IC5283,345.82041666666663,8.88361111111111
109,CGCG453-062,346.23541666666665,19.552222222222223
110,IC5298,349.00291666666664,25.55666666666667
111,NGC7592,349.5925,4.416944444444445
112,NGC7674,351.9908333333333,8.780833333333334
113,MRK331,357.8616666666667,20.58611111111111
